email_text,label,cleaned_text,prediction
"Dear students,

JETRO, or the Japan External Trade Organization, is a government-related
organization that hosted a session earlier and now organizes job fairs at
various localities. In India, they're hosting it in Chennai and Delhi. All
the students are requested to check the links provided below and are also
requested to register themselves.

Both job fairs are going to be held virtually and physically in the months
of November and December, respectively, and all students are requested to
try out for the virtual fair without fail.


Delhi Job Fair Registrations:  https://japanjobfair.go.jp/india/delhi2023/
Chennai Job Fair Registrations:
https://japanjobfair.go.jp/india/chennai2023/

Please fill out this Google form <https://forms.gle/Cdvw9wqThxQ2PDfG7>
confirming
your successful registration on the portal.

Note: We are sharing this opportunity with multiple student groups hoping
that it would be helpful for those who are seeking placements. Please
ignore this email if it is not relevant to you.
-- 
With regards

*CR & CS*
*SRM University - Andhra Pradesh*
Neerukonda Village
Mangalagiri Mandal
Guntur district - 522502
",unknown,dear students jetro or the japan external trade organization is a governmentrelated organization that hosted a session earlier and now organizes job fairs at various localities in india theyre hosting it in chennai and delhi all the students are requested to check the links provided below and are also requested to register themselves both job fairs are going to be held virtually and physically in the months of november and december respectively and all students are requested to try out for the virtual fair without fail delhi job fair registrations chennai job fair registrations please fill out this google form confirming your successful registration on the portal note we are sharing this opportunity with multiple student groups hoping that it would be helpful for those who are seeking placements please ignore this email if it is not relevant to you with regards cr cs srm university andhra pradesh neerukonda village mangalagiri mandal guntur district,Legitimate
"Dear students,

Please find the below time table for *SEC101 subject.*

Section Subject Day Time Room No.
CSE-A SEC 101 Monday
Wednesday 04:30 - 05:30
02:00 - 04:00 W201
W201
CSE-B SEC 101 Monday
Thursday 09:00 -11:00
10:00 -11:00 S604
S503
CSE-C SEC 101 Monday
Wednesday 04:30 - 05:30
02:00 - 04:00 W202
W202
CSE-D SEC 101 Monday
Friday 09:00 - 10:00
03:30 - 05:30 S607
S504
CSE-E SEC 101 Monday
Wednesday 04:30 - 05:30
02:00 - 04:00 W204
W204
CSE-F SEC 101 Monday
Friday 09:00 - 10:00
01:30 - 03:30 S407
S505
CSE-G SEC 101 Tuesday
Wednesday 03:30 - 05:30
02:00 -03:00 S506
W205
CSE-H SEC 101 Thursday
Friday 11:00 - 12:00
01:30 - 05:30 S606
S506
CSE-I SEC 101 Monday
Wednesday 04:30 - 05:30
02:00 - 04:00 S407
S407
CSE-J SEC 101 Monday
Wednesday 03:30 - 4:30
03:30 - 5:30 S612
S612
CSE-K SEC 101 Monday
Thursday 09:00 -11:00
04:30 -05:30 S712
S712
CSE-L SEC 101 Thursday
Friday 10:00 - 11:00
03:30 - 5:30 S712
S712
CSE-M SEC 101 Tuesday
Wednesday 03:30 - 05:30
04:30 -05:30 C203
W206
CSE-N SEC 101 Monday
Friday 09:00 - 10:00
01:30 - 03:30 S605
C203
CSE-O SEC 101 Tuesday
Wednesday 04:00 - 05:30
04:00 - 05:30 C204
W207
CSE-P SEC 101 Monday
Friday 03:30 - 05:30
04:30 -05:30 C204
C204
CSE-Q SEC 101 Tuesday
Wednesday 04:00 - 05:00
02:00 - 04:00 C303
C303
CSE-R SEC 101 Wednesday
Friday
Friday 02:00 - 03:00
01:30 - 02:30
04:30 - 05:30 C303
C303
C303
CSE-S SEC 101 Wednesday
Friday 02:30 - 03:30
04:30 - 05:30 S607
S607
CSE-T SEC 101 Wednesday
Friday 03:30 -05:30
03:30 -04:30 C304
C304
CSE-U SEC 101 Monday
Tuesday 01:30 - 03:30
04:30 - 05:30 S408
C403
CSE-V SEC 101 Monday
Friday 03:00 - 04:00
03:30 - 05:30 C403
C403
CSE-W SEC 101 Wednesday
Friday 04:30 - 05:30
01:30 - 03:30 W504
W504
CSC-X SEC 101 Monday
Wednesday 03:00 - 04:00
03:30 - 05:30 C404
C404
CSE-Y SEC 101 Monday
Wednesday 09:00 - 11:00
10:00 - 11:00 C504
S504
CSE-Z SEC 101 Wednesday
Friday 04:30 - 05:30
03:30 - 05:30 S504
S504
ECE-A SEC 101 Tuesday
Wednesday 03:30 -04:30
11:00 - 01:00 S513
S513
ECE-B SEC 101 Monday
Wednesday 02:30 - 04:00
04:30 - 05:30 S513
S503
C,M,EEE SEC 101 Tuesday
Friday 03:30 - 05:30
12:00 - 01:00 S606
S604
B.Sc(CS) SEC 101 Wednesday
Friday 10:30 - 12:30
11:30 - 12:30 C505
C505
BMPC SEC 101 Monday
Tuesday 01:30 - 03:30
12:00 - 01:00 S606
S604

*Note:- *If you find any discrepancy in the time table or venues, please
feel free to contact the numbers given below.

Naresh adapa - 93976 26169
Shaik Mohamed kalim - 98494 46189
Praveen Vasarla - 9505364458
-- 
With regards

*CR & CS*
*SRM University - Andhra Pradesh*
Neerukonda Village
Mangalagiri Mandal
Guntur district - 522502
",unknown,dear students please find the below time table for sec subject section subject day time room no csea sec monday wednesday w w cseb sec monday thursday s s csec sec monday wednesday w w csed sec monday friday s s csee sec monday wednesday w w csef sec monday friday s s cseg sec tuesday wednesday s w cseh sec thursday friday s s csei sec monday wednesday s s csej sec monday wednesday s s csek sec monday thursday s s csel sec thursday friday s s csem sec tuesday wednesday c w csen sec monday friday s c cseo sec tuesday wednesday c w csep sec monday friday c c cseq sec tuesday wednesday c c cser sec wednesday friday friday c c c cses sec wednesday friday s s cset sec wednesday friday c c cseu sec monday tuesday s c csev sec monday friday c c csew sec wednesday friday w w cscx sec monday wednesday c c csey sec monday wednesday c s csez sec wednesday friday s s ecea sec tuesday wednesday s s eceb sec monday wednesday s s cmeee sec tuesday friday s s bsccs sec wednesday friday c c bmpc sec monday tuesday s s note if you find any discrepancy in the time table or venues please feel free to contact the numbers given below naresh adapa shaik mohamed kalim praveen vasarla with regards cr cs srm university andhra pradesh neerukonda village mangalagiri mandal guntur district,Legitimate
"Dear students,

Adobe is organising Analytics Challenge 2023 - their annual International
event for all the students of Engineering and from all years.

Registration link: *https://adobeanalyticschallenge.com
<https://adobeanalyticschallenge.com/>*
Deadline: 25.09.2023

It is a must to fill out this Google form
<https://forms.gle/UfJwLhXrVPPJVgVa7> immediately after registering on the
company provided link.

The Adobe Analytics Challenge is an annual event that invites students from
around the world to showcase their analytical skills and creativity using
Adobe’s industry- leading analytics products. *The finals will be held
at Adobe's headquarters in San Jose, California, adding an extra layer of
excitement to the competition.*

*Important Details:*

   - Registration Opens: September 6th, 2023
   - Registration Deadline: September 26th, 2023
   - Final event: Adobe HQ in San Jose (Adobe will cover all expenses for
   finalist teams to travel to San Jose)
   - Cash Prizes: upto 50 Lakhs INR (60,000 USD) [ The prize is overall
   worth 60,000 USD and the first prize is 35,000 USD.]


-- 
With regards

*CR & CS*
*SRM University - Andhra Pradesh*
Neerukonda Village
Mangalagiri Mandal
Guntur district - 522502
",unknown,dear students adobe is organising analytics challenge their annual international event for all the students of engineering and from all years registration link deadline it is a must to fill out this google form immediately after registering on the company provided link the adobe analytics challenge is an annual event that invites students from around the world to showcase their analytical skills and creativity using adobes industry leading analytics products the finals will be held at adobes headquarters in san jose california adding an extra layer of excitement to the competition important details registration opens september th registration deadline september th final event adobe hq in san jose adobe will cover all expenses for finalist teams to travel to san jose cash prizes upto lakhs inr usd the prize is overall worth usd and the first prize is usd with regards cr cs srm university andhra pradesh neerukonda village mangalagiri mandal guntur district,Legitimate
"Dear students,

Accenture is organizing a hackathon by the name - ""Accenture Innovation
Challenge"". This is a hiring hackathon where the best performers will be
called for an interview. Below are the roles offered by the company, along
with the hackathon details.

Deadline for registration: 15.09.2023
Deadline for Idea submission: 18.09.2023
Registration link:
https://unstop.com/competitions/accenture-innovation-challenge-2023-accenture-710576?utm_source=AIC&utm_medium=Placement-Cells&ref=97CfxAuT


Roles Offered:

   - Associate Software Engineer
   - System and Application Services Associate
   - Technology Consultant
   - Business and Functional Architect


Eligibility Criteria & Team Formulation:

   - Accenture Innovation Challenge 2023 is open to undergraduate and
   postgraduate students (currently full-time students) of all years across
   all institutes in India.
   - Participants can register individually or in teams with at most 4
   members.
   - A team must strictly comprise either all Engineering, all Non-Engineering,
   or all B-School students, i.e. a team cannot have an engineering student
   along with a non-engineering student as members.
   - Cross-specialization, cross-year and cross-college teams are allowed.
   - A student can be a part of only one team.
   - Any deviation from the above-mentioned guidelines will result in the
   immediate disqualification of the entire team.
   - This year you would get an opportunity to compete at a zonal level.
   Top entry from each zone will stand a chance to compete at the Grand Finale:
      - Zone 1 - North and East
      - Zone 2 - Tamil Nadu and Pondicherry
      - Zone 3 - Andhra Pradesh and Telangana
      - Zone 4 - West and Central
      - Zone 5 - Karnataka and Kerala


Rewards:

Three winners at a PAN-India level will be adjudged for the Entry-Level
Graduates Track and B-School Track separately

   - Winners – Prizes worth INR 1,00,000 per team member
   - First Runners-Up – Prizes worth INR 75,000 per team member
   - Second Runners-Up – Prizes worth INR 50,000 per team member
   - Jury’s Choice – Prizes worth INR 35,000 per team member
   - Next 6 Runners-Up – Prizes worth INR 20,000 per team
   - Fast-Track Interview Opportunity will be extended to all the eligible
   (as per our recruitment process criteria) participants who would submit
   their innovative ideas. Eligible participants will receive communications
   about the recruitment process from Accenture.


[image: image.png]

-- 
With regards

*CR & CS*
*SRM University - Andhra Pradesh*
Neerukonda Village
Mangalagiri Mandal
Guntur district - 522502
",unknown,dear students accenture is organizing a hackathon by the name accenture innovation challenge this is a hiring hackathon where the best performers will be called for an interview below are the roles offered by the company along with the hackathon details deadline for registration deadline for idea submission registration link roles offered associate software engineer system and application services associate technology consultant business and functional architect eligibility criteria team formulation accenture innovation challenge is open to undergraduate and postgraduate students currently fulltime students of all years across all institutes in india participants can register individually or in teams with at most members a team must strictly comprise either all engineering all nonengineering or all bschool students ie a team cannot have an engineering student along with a nonengineering student as members crossspecialization crossyear and crosscollege teams are allowed a student can be a part of only one team any deviation from the abovementioned guidelines will result in the immediate disqualification of the entire team this year you would get an opportunity to compete at a zonal level top entry from each zone will stand a chance to compete at the grand finale zone north and east zone tamil nadu and pondicherry zone andhra pradesh and telangana zone west and central zone karnataka and kerala rewards three winners at a panindia level will be adjudged for the entrylevel graduates track and bschool track separately winners prizes worth inr per team member first runnersup prizes worth inr per team member second runnersup prizes worth inr per team member jurys choice prizes worth inr per team member next runnersup prizes worth inr per team fasttrack interview opportunity will be extended to all the eligible as per our recruitment process criteria participants who would submit their innovative ideas eligible participants will receive communications about the recruitment process from accenture image imagepng with regards cr cs srm university andhra pradesh neerukonda village mangalagiri mandal guntur district,Legitimate
"Dear students
Today's SEC-101 (Analytical Reasoning and Aptitude Skills) class  from 4-30
to 5-30 in Room No. W201 is shifted to C202 for the same time due to mid
examination for the 2nd and 3rd year students.Inconvenience is regretted.

-- 
With regards

*CR & CS*
*SRM University - Andhra Pradesh*
Neerukonda Village
Mangalagiri Mandal
Guntur district - 522502
",unknown,dear students todays sec analytical reasoning and aptitude skills class from to in room no w is shifted to c for the same time due to mid examination for the nd and rd year studentsinconvenience is regretted with regards cr cs srm university andhra pradesh neerukonda village mangalagiri mandal guntur district,Legitimate
"Dear Students
Please find the change in the classroom for SEC101 class today (27-09-2023)
due to mid exams.
27-09-2023 Wednesday 2-00 TO 4-00 CSE-A W201 C302 6-Phrase
27-09-2023 Wednesday 4-00 TO 5-30 CSE-O W208 C302 6-phrase
27-09-2023 Wednesday 4-30 TO 5-30 CSE-W W504 C302 6-phrase
Please follow the change.
-- 
With regards

*CR & CS*
*SRM University - Andhra Pradesh*
Neerukonda Village
Mangalagiri Mandal
Guntur district - 522502
",unknown,dear students please find the change in the classroom for sec class today due to mid exams wednesday to csea w c phrase wednesday to cseo w c phrase wednesday to csew w c phrase please follow the change with regards cr cs srm university andhra pradesh neerukonda village mangalagiri mandal guntur district,Legitimate
"Dear students,
HSBC will launch its hackathon, for which they will conduct a webinar on
the topic related to their hackathon. This hackathon is case study-based
and helpful for the students aspiring for analyst and business development
roles.

Hence, it is mandatory for all MBA and BBA students to join this session,
and the other branch students who would like to pursue their careers in
analyst and business-oriented roles are also requested to join this session.

Best performers would be shortlisted for interviews and offered PPOs.

Please use the link below to join the session.
Session link:
https://us02web.zoom.us/j/89782814025?pwd=RytQcjZ1a2pCbjFIMFVBQzFhendXUT09
Date: 03.10.2023
Time: 3:00 - 4:00 PM

-- 
With regards

*CR & CS*
*SRM University - Andhra Pradesh*
Neerukonda Village
Mangalagiri Mandal
Guntur district - 522502
",unknown,dear students hsbc will launch its hackathon for which they will conduct a webinar on the topic related to their hackathon this hackathon is case studybased and helpful for the students aspiring for analyst and business development roles hence it is mandatory for all mba and bba students to join this session and the other branch students who would like to pursue their careers in analyst and businessoriented roles are also requested to join this session best performers would be shortlisted for interviews and offered ppos please use the link below to join the session session link date time pm with regards cr cs srm university andhra pradesh neerukonda village mangalagiri mandal guntur district,Legitimate
"Dear students,

A gentle reminder!!

All the students are requested to join the session without fail using the
credentials below.

Session link:
https://us02web.zoom.us/j/89782814025?pwd=RytQcjZ1a2pCbjFIMFVBQzFhendXUT09
Date: 03.10.2023
Time: 3:00 - 4:00 PM

On Tue, Oct 3, 2023 at 1:24 AM Corporate Relations & Career Services <
cr-cs@srmap.edu.in> wrote:

> Dear students,
> HSBC will launch its hackathon, for which they will conduct a webinar on
> the topic related to their hackathon. This hackathon is case study-based
> and helpful for the students aspiring for analyst and business development
> roles.
>
> Hence, it is mandatory for all MBA and BBA students to join this session,
> and the other branch students who would like to pursue their careers in
> analyst and business-oriented roles are also requested to join this session.
>
> Best performers would be shortlisted for interviews and offered PPOs.
>
> Please use the link below to join the session.
> Session link:
> https://us02web.zoom.us/j/89782814025?pwd=RytQcjZ1a2pCbjFIMFVBQzFhendXUT09
> Date: 03.10.2023
> Time: 3:00 - 4:00 PM
>
> --
> With regards
>
> *CR & CS*
> *SRM University - Andhra Pradesh*
> Neerukonda Village
> Mangalagiri Mandal
> Guntur district - 522502
>
>

-- 
With regards

*CR & CS*
*SRM University - Andhra Pradesh*
Neerukonda Village
Mangalagiri Mandal
Guntur district - 522502
",unknown,dear students a gentle reminder all the students are requested to join the session without fail using the credentials below session link date time pm on tue oct at am corporate relations career services crcssrmapeduin wrote dear students hsbc will launch its hackathon for which they will conduct a webinar on the topic related to their hackathon this hackathon is case studybased and helpful for the students aspiring for analyst and business development roles hence it is mandatory for all mba and bba students to join this session and the other branch students who would like to pursue their careers in analyst and businessoriented roles are also requested to join this session best performers would be shortlisted for interviews and offered ppos please use the link below to join the session session link date time pm with regards cr cs srm university andhra pradesh neerukonda village mangalagiri mandal guntur district with regards cr cs srm university andhra pradesh neerukonda village mangalagiri mandal guntur district,Legitimate
"Dear Student,
Please find the syllabus for the Mid Examination.
Model Paper
50 questions -50 x 1 = 50 marks
Time : One hour
Note: Calculator is not allowed.
Syllabus:
        *Topic                     Weightage*
1.Clocks and Calendars - 10
2. Percentages               - 10
3. Profit and Loss            - 15
4. Ratio and Proportion    - 8
5. Simplification                - 7

If any question gets repeated marks will be given to the correct answer. If
any question is wrong marks will be given for that question at the time of
correction.

-- 
With regards

*CR & CS*
*SRM University - Andhra Pradesh*
Neerukonda Village
Mangalagiri Mandal
Guntur district - 522502
",unknown,dear student please find the syllabus for the mid examination model paper questions x marks time one hour note calculator is not allowed syllabus topic weightage clocks and calendars percentages profit and loss ratio and proportion simplification if any question gets repeated marks will be given to the correct answer if any question is wrong marks will be given for that question at the time of correction with regards cr cs srm university andhra pradesh neerukonda village mangalagiri mandal guntur district,Legitimate
"Dear Students,
Greetings of the day.
SEC-101 Analytical Reasoning and Aptitude skills) Mid Examination
The exam pattern is MCQs.
Please write the exam well. If the question is tough don't waste the time
on it only.
Solve all the questions. If you feel any question is tough, leave it and go
with the other questions.
Don't go with the lottery system.
Wish you all the best.

On Wed, Oct 4, 2023 at 10:45 AM Corporate Relations & Career Services <
cr-cs@srmap.edu.in> wrote:

> Dear Student,
> Please find the syllabus for the Mid Examination.
> Model Paper
> 50 questions -50 x 1 = 50 marks
> Time : One hour
> Note: Calculator is not allowed.
> Syllabus:
>         *Topic                     Weightage*
> 1.Clocks and Calendars - 10
> 2. Percentages               - 10
> 3. Profit and Loss            - 15
> 4. Ratio and Proportion    - 8
> 5. Simplification                - 7
>
> If any question gets repeated marks will be given to the correct answer.
> If any question is wrong marks will be given for that question at the time
> of correction.
>
> --
> With regards
>
> *CR & CS*
> *SRM University - Andhra Pradesh*
> Neerukonda Village
> Mangalagiri Mandal
> Guntur district - 522502
>
>

-- 
With regards

*CR & CS*
*SRM University - Andhra Pradesh*
Neerukonda Village
Mangalagiri Mandal
Guntur district - 522502
",unknown,dear students greetings of the day sec analytical reasoning and aptitude skills mid examination the exam pattern is mcqs please write the exam well if the question is tough dont waste the time on it only solve all the questions if you feel any question is tough leave it and go with the other questions dont go with the lottery system wish you all the best on wed oct at am corporate relations career services crcssrmapeduin wrote dear student please find the syllabus for the mid examination model paper questions x marks time one hour note calculator is not allowed syllabus topic weightage clocks and calendars percentages profit and loss ratio and proportion simplification if any question gets repeated marks will be given to the correct answer if any question is wrong marks will be given for that question at the time of correction with regards cr cs srm university andhra pradesh neerukonda village mangalagiri mandal guntur district with regards cr cs srm university andhra pradesh neerukonda village mangalagiri mandal guntur district,Legitimate
