email_text,label
"Dear students,

JETRO, or the Japan External Trade Organization, is a government-related
organization that hosted a session earlier and now organizes job fairs at
various localities. In India, they're hosting it in Chennai and Delhi. All
the students are requested to check the links provided below and are also
requested to register themselves.

Both job fairs are going to be held virtually and physically in the months
of November and December, respectively, and all students are requested to
try out for the virtual fair without fail.


Delhi Job Fair Registrations:  https://japanjobfair.go.jp/india/delhi2023/
Chennai Job Fair Registrations:
https://japanjobfair.go.jp/india/chennai2023/

Please fill out this Google form <https://forms.gle/Cdvw9wqThxQ2PDfG7>
confirming
your successful registration on the portal.

Note: We are sharing this opportunity with multiple student groups hoping
that it would be helpful for those who are seeking placements. Please
ignore this email if it is not relevant to you.
-- 
With regards

*CR & CS*
*SRM University - Andhra Pradesh*
Neerukonda Village
Mangalagiri Mandal
Guntur district - 522502
",unknown
"Dear students,

Please find the below time table for *SEC101 subject.*

Section Subject Day Time Room No.
CSE-A SEC 101 Monday
Wednesday 04:30 - 05:30
02:00 - 04:00 W201
W201
CSE-B SEC 101 Monday
Thursday 09:00 -11:00
10:00 -11:00 S604
S503
CSE-C SEC 101 Monday
Wednesday 04:30 - 05:30
02:00 - 04:00 W202
W202
CSE-D SEC 101 Monday
Friday 09:00 - 10:00
03:30 - 05:30 S607
S504
CSE-E SEC 101 Monday
Wednesday 04:30 - 05:30
02:00 - 04:00 W204
W204
CSE-F SEC 101 Monday
Friday 09:00 - 10:00
01:30 - 03:30 S407
S505
CSE-G SEC 101 Tuesday
Wednesday 03:30 - 05:30
02:00 -03:00 S506
W205
CSE-H SEC 101 Thursday
Friday 11:00 - 12:00
01:30 - 05:30 S606
S506
CSE-I SEC 101 Monday
Wednesday 04:30 - 05:30
02:00 - 04:00 S407
S407
CSE-J SEC 101 Monday
Wednesday 03:30 - 4:30
03:30 - 5:30 S612
S612
CSE-K SEC 101 Monday
Thursday 09:00 -11:00
04:30 -05:30 S712
S712
CSE-L SEC 101 Thursday
Friday 10:00 - 11:00
03:30 - 5:30 S712
S712
CSE-M SEC 101 Tuesday
Wednesday 03:30 - 05:30
04:30 -05:30 C203
W206
CSE-N SEC 101 Monday
Friday 09:00 - 10:00
01:30 - 03:30 S605
C203
CSE-O SEC 101 Tuesday
Wednesday 04:00 - 05:30
04:00 - 05:30 C204
W207
CSE-P SEC 101 Monday
Friday 03:30 - 05:30
04:30 -05:30 C204
C204
CSE-Q SEC 101 Tuesday
Wednesday 04:00 - 05:00
02:00 - 04:00 C303
C303
CSE-R SEC 101 Wednesday
Friday
Friday 02:00 - 03:00
01:30 - 02:30
04:30 - 05:30 C303
C303
C303
CSE-S SEC 101 Wednesday
Friday 02:30 - 03:30
04:30 - 05:30 S607
S607
CSE-T SEC 101 Wednesday
Friday 03:30 -05:30
03:30 -04:30 C304
C304
CSE-U SEC 101 Monday
Tuesday 01:30 - 03:30
04:30 - 05:30 S408
C403
CSE-V SEC 101 Monday
Friday 03:00 - 04:00
03:30 - 05:30 C403
C403
CSE-W SEC 101 Wednesday
Friday 04:30 - 05:30
01:30 - 03:30 W504
W504
CSC-X SEC 101 Monday
Wednesday 03:00 - 04:00
03:30 - 05:30 C404
C404
CSE-Y SEC 101 Monday
Wednesday 09:00 - 11:00
10:00 - 11:00 C504
S504
CSE-Z SEC 101 Wednesday
Friday 04:30 - 05:30
03:30 - 05:30 S504
S504
ECE-A SEC 101 Tuesday
Wednesday 03:30 -04:30
11:00 - 01:00 S513
S513
ECE-B SEC 101 Monday
Wednesday 02:30 - 04:00
04:30 - 05:30 S513
S503
C,M,EEE SEC 101 Tuesday
Friday 03:30 - 05:30
12:00 - 01:00 S606
S604
B.Sc(CS) SEC 101 Wednesday
Friday 10:30 - 12:30
11:30 - 12:30 C505
C505
BMPC SEC 101 Monday
Tuesday 01:30 - 03:30
12:00 - 01:00 S606
S604

*Note:- *If you find any discrepancy in the time table or venues, please
feel free to contact the numbers given below.

Naresh adapa - 93976 26169
Shaik Mohamed kalim - 98494 46189
Praveen Vasarla - 9505364458
-- 
With regards

*CR & CS*
*SRM University - Andhra Pradesh*
Neerukonda Village
Mangalagiri Mandal
Guntur district - 522502
",unknown
"Dear students,

Adobe is organising Analytics Challenge 2023 - their annual International
event for all the students of Engineering and from all years.

Registration link: *https://adobeanalyticschallenge.com
<https://adobeanalyticschallenge.com/>*
Deadline: 25.09.2023

It is a must to fill out this Google form
<https://forms.gle/UfJwLhXrVPPJVgVa7> immediately after registering on the
company provided link.

The Adobe Analytics Challenge is an annual event that invites students from
around the world to showcase their analytical skills and creativity using
Adobe’s industry- leading analytics products. *The finals will be held
at Adobe's headquarters in San Jose, California, adding an extra layer of
excitement to the competition.*

*Important Details:*

   - Registration Opens: September 6th, 2023
   - Registration Deadline: September 26th, 2023
   - Final event: Adobe HQ in San Jose (Adobe will cover all expenses for
   finalist teams to travel to San Jose)
   - Cash Prizes: upto 50 Lakhs INR (60,000 USD) [ The prize is overall
   worth 60,000 USD and the first prize is 35,000 USD.]


-- 
With regards

*CR & CS*
*SRM University - Andhra Pradesh*
Neerukonda Village
Mangalagiri Mandal
Guntur district - 522502
",unknown
"Dear students,

Accenture is organizing a hackathon by the name - ""Accenture Innovation
Challenge"". This is a hiring hackathon where the best performers will be
called for an interview. Below are the roles offered by the company, along
with the hackathon details.

Deadline for registration: 15.09.2023
Deadline for Idea submission: 18.09.2023
Registration link:
https://unstop.com/competitions/accenture-innovation-challenge-2023-accenture-710576?utm_source=AIC&utm_medium=Placement-Cells&ref=97CfxAuT


Roles Offered:

   - Associate Software Engineer
   - System and Application Services Associate
   - Technology Consultant
   - Business and Functional Architect


Eligibility Criteria & Team Formulation:

   - Accenture Innovation Challenge 2023 is open to undergraduate and
   postgraduate students (currently full-time students) of all years across
   all institutes in India.
   - Participants can register individually or in teams with at most 4
   members.
   - A team must strictly comprise either all Engineering, all Non-Engineering,
   or all B-School students, i.e. a team cannot have an engineering student
   along with a non-engineering student as members.
   - Cross-specialization, cross-year and cross-college teams are allowed.
   - A student can be a part of only one team.
   - Any deviation from the above-mentioned guidelines will result in the
   immediate disqualification of the entire team.
   - This year you would get an opportunity to compete at a zonal level.
   Top entry from each zone will stand a chance to compete at the Grand Finale:
      - Zone 1 - North and East
      - Zone 2 - Tamil Nadu and Pondicherry
      - Zone 3 - Andhra Pradesh and Telangana
      - Zone 4 - West and Central
      - Zone 5 - Karnataka and Kerala


Rewards:

Three winners at a PAN-India level will be adjudged for the Entry-Level
Graduates Track and B-School Track separately

   - Winners – Prizes worth INR 1,00,000 per team member
   - First Runners-Up – Prizes worth INR 75,000 per team member
   - Second Runners-Up – Prizes worth INR 50,000 per team member
   - Jury’s Choice – Prizes worth INR 35,000 per team member
   - Next 6 Runners-Up – Prizes worth INR 20,000 per team
   - Fast-Track Interview Opportunity will be extended to all the eligible
   (as per our recruitment process criteria) participants who would submit
   their innovative ideas. Eligible participants will receive communications
   about the recruitment process from Accenture.


[image: image.png]

-- 
With regards

*CR & CS*
*SRM University - Andhra Pradesh*
Neerukonda Village
Mangalagiri Mandal
Guntur district - 522502
",unknown
"Dear students
Today's SEC-101 (Analytical Reasoning and Aptitude Skills) class  from 4-30
to 5-30 in Room No. W201 is shifted to C202 for the same time due to mid
examination for the 2nd and 3rd year students.Inconvenience is regretted.

-- 
With regards

*CR & CS*
*SRM University - Andhra Pradesh*
Neerukonda Village
Mangalagiri Mandal
Guntur district - 522502
",unknown
"Dear Students
Please find the change in the classroom for SEC101 class today (27-09-2023)
due to mid exams.
27-09-2023 Wednesday 2-00 TO 4-00 CSE-A W201 C302 6-Phrase
27-09-2023 Wednesday 4-00 TO 5-30 CSE-O W208 C302 6-phrase
27-09-2023 Wednesday 4-30 TO 5-30 CSE-W W504 C302 6-phrase
Please follow the change.
-- 
With regards

*CR & CS*
*SRM University - Andhra Pradesh*
Neerukonda Village
Mangalagiri Mandal
Guntur district - 522502
",unknown
"Dear students,
HSBC will launch its hackathon, for which they will conduct a webinar on
the topic related to their hackathon. This hackathon is case study-based
and helpful for the students aspiring for analyst and business development
roles.

Hence, it is mandatory for all MBA and BBA students to join this session,
and the other branch students who would like to pursue their careers in
analyst and business-oriented roles are also requested to join this session.

Best performers would be shortlisted for interviews and offered PPOs.

Please use the link below to join the session.
Session link:
https://us02web.zoom.us/j/89782814025?pwd=RytQcjZ1a2pCbjFIMFVBQzFhendXUT09
Date: 03.10.2023
Time: 3:00 - 4:00 PM

-- 
With regards

*CR & CS*
*SRM University - Andhra Pradesh*
Neerukonda Village
Mangalagiri Mandal
Guntur district - 522502
",unknown
"Dear students,

A gentle reminder!!

All the students are requested to join the session without fail using the
credentials below.

Session link:
https://us02web.zoom.us/j/89782814025?pwd=RytQcjZ1a2pCbjFIMFVBQzFhendXUT09
Date: 03.10.2023
Time: 3:00 - 4:00 PM

On Tue, Oct 3, 2023 at 1:24 AM Corporate Relations & Career Services <
cr-cs@srmap.edu.in> wrote:

> Dear students,
> HSBC will launch its hackathon, for which they will conduct a webinar on
> the topic related to their hackathon. This hackathon is case study-based
> and helpful for the students aspiring for analyst and business development
> roles.
>
> Hence, it is mandatory for all MBA and BBA students to join this session,
> and the other branch students who would like to pursue their careers in
> analyst and business-oriented roles are also requested to join this session.
>
> Best performers would be shortlisted for interviews and offered PPOs.
>
> Please use the link below to join the session.
> Session link:
> https://us02web.zoom.us/j/89782814025?pwd=RytQcjZ1a2pCbjFIMFVBQzFhendXUT09
> Date: 03.10.2023
> Time: 3:00 - 4:00 PM
>
> --
> With regards
>
> *CR & CS*
> *SRM University - Andhra Pradesh*
> Neerukonda Village
> Mangalagiri Mandal
> Guntur district - 522502
>
>

-- 
With regards

*CR & CS*
*SRM University - Andhra Pradesh*
Neerukonda Village
Mangalagiri Mandal
Guntur district - 522502
",unknown
"Dear Student,
Please find the syllabus for the Mid Examination.
Model Paper
50 questions -50 x 1 = 50 marks
Time : One hour
Note: Calculator is not allowed.
Syllabus:
        *Topic                     Weightage*
1.Clocks and Calendars - 10
2. Percentages               - 10
3. Profit and Loss            - 15
4. Ratio and Proportion    - 8
5. Simplification                - 7

If any question gets repeated marks will be given to the correct answer. If
any question is wrong marks will be given for that question at the time of
correction.

-- 
With regards

*CR & CS*
*SRM University - Andhra Pradesh*
Neerukonda Village
Mangalagiri Mandal
Guntur district - 522502
",unknown
"Dear Students,
Greetings of the day.
SEC-101 Analytical Reasoning and Aptitude skills) Mid Examination
The exam pattern is MCQs.
Please write the exam well. If the question is tough don't waste the time
on it only.
Solve all the questions. If you feel any question is tough, leave it and go
with the other questions.
Don't go with the lottery system.
Wish you all the best.

On Wed, Oct 4, 2023 at 10:45 AM Corporate Relations & Career Services <
cr-cs@srmap.edu.in> wrote:

> Dear Student,
> Please find the syllabus for the Mid Examination.
> Model Paper
> 50 questions -50 x 1 = 50 marks
> Time : One hour
> Note: Calculator is not allowed.
> Syllabus:
>         *Topic                     Weightage*
> 1.Clocks and Calendars - 10
> 2. Percentages               - 10
> 3. Profit and Loss            - 15
> 4. Ratio and Proportion    - 8
> 5. Simplification                - 7
>
> If any question gets repeated marks will be given to the correct answer.
> If any question is wrong marks will be given for that question at the time
> of correction.
>
> --
> With regards
>
> *CR & CS*
> *SRM University - Andhra Pradesh*
> Neerukonda Village
> Mangalagiri Mandal
> Guntur district - 522502
>
>

-- 
With regards

*CR & CS*
*SRM University - Andhra Pradesh*
Neerukonda Village
Mangalagiri Mandal
Guntur district - 522502
",unknown
